wals code,name,value,description,genus,family,,
lac,Lacandón,2,Prepositions,Mayan,Mayan,,
lad,Ladakhi,1,Postpositions,Bodic,Sino-Tibetan,,
lag,Lagwan,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
lah,Lahu,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
lai,Lai,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
lak,Lak,1,Postpositions,Lak-Dargwa,Nakh-Daghestanian,,
lkt,Lakhota,1,Postpositions,Core Siouan,Siouan,,
lal,Lalo,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
lmh,Lamaholot,4,No dominant order,Central Malayo-Polynesian,Austronesian,,
lmg,Lamang,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
lmn,Lamani,1,Postpositions,Indic,Indo-European,,
lmb,Lamba,2,Prepositions,Bantoid,Niger-Congo,,
lmp,Lampung,2,Prepositions,Lampungic,Austronesian,,
lgi,Langi,2,Prepositions,Bantoid,Niger-Congo,,
lan,Lango,2,Prepositions,Nilotic,Eastern Sudanic,,
lao,Lao,2,Prepositions,Kam-Tai,Tai-Kadai,,
lar,Laragia,1,Postpositions,Laragia,Darwin Region,,
lat,Latvian,2,Prepositions,Baltic,Indo-European,,
lav,Lavukaleve,1,Postpositions,Lavukaleve,Solomons East Papuan,,
leb,Lebeo,2,Prepositions,Bantoid,Niger-Congo,,
lel,Lele,2,Prepositions,East Chadic,Afro-Asiatic,,
llm,Lelemi,1,Postpositions,Kwa,Niger-Congo,,
len,Lenakel,2,Prepositions,Oceanic,Austronesian,,
ldu,Lendu,1,Postpositions,Lendu,Central Sudanic,,
lep,Lepcha,1,Postpositions,Lepcha,Sino-Tibetan,,
let,Leti,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
lew,Lewo,2,Prepositions,Oceanic,Austronesian,,
lez,Lezgian,1,Postpositions,Lezgic,Nakh-Daghestanian,,
lho,Lhomi,1,Postpositions,Bodic,Sino-Tibetan,,
lil,Lillooet,2,Prepositions,Interior Salish,Salishan,,
lnd,Linda,2,Prepositions,Ubangi,Niger-Congo,,
lis,Lisu,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
lit,Lithuanian,2,Prepositions,Baltic,Indo-European,,
lgt,Logoti,1,Postpositions,Moru-Ma'di,Central Sudanic,,
ldo,Londo,2,Prepositions,Bantoid,Niger-Congo,,
lgu,Longgu,2,Prepositions,Oceanic,Austronesian,,
lon,Loniu,2,Prepositions,Oceanic,Austronesian,,
lot,Lotha,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
lou,Lou,2,Prepositions,Oceanic,Austronesian,,
lda,Luganda,2,Prepositions,Bantoid,Niger-Congo,,
lug,Lugbara,1,Postpositions,Moru-Ma'di,Central Sudanic,,
lui,Luiseño,1,Postpositions,California Uto-Aztecan,Uto-Aztecan,,
lbu,Lunda,2,Prepositions,Bantoid,Niger-Congo,,
lun,Lungchang,1,Postpositions,Northern Naga,Sino-Tibetan,,
luo,Luo,2,Prepositions,Nilotic,Eastern Sudanic,,
kkv,Lusi,2,Prepositions,Oceanic,Austronesian,,
luv,Luvale,2,Prepositions,Bantoid,Niger-Congo,,
jlu,Luwo,2,Prepositions,Nilotic,Eastern Sudanic,,
mad,Ma'di,1,Postpositions,Moru-Ma'di,Central Sudanic,,
maa,Maasai,2,Prepositions,Nilotic,Eastern Sudanic,,
mab,Maba,1,Postpositions,Maban,Maban,,
mcd,Macedonian,2,Prepositions,Slavic,Indo-European,,
mac,Macushi,1,Postpositions,Cariban,Cariban,,
mdm,Madimadi,2,Prepositions,Southeastern Pama-Nyungan,Pama-Nyungan,,
mae,Mae,2,Prepositions,Oceanic,Austronesian,,
mgh,Magahi,1,Postpositions,Indic,Indo-European,,
mag,Magar,1,Postpositions,Mahakiranti,Sino-Tibetan,,
mgi,Magi,1,Postpositions,Mailuan,Trans-New Guinea,,
mpr,Maipure,1,Postpositions,Alto-Orinoco,Arawakan,,
msn,Maisin,1,Postpositions,Oceanic,Austronesian,,
mai,Maithili,1,Postpositions,Indic,Indo-European,,
maj,Majang,1,Postpositions,Surmic,Eastern Sudanic,,
mak,Makah,4,No dominant order,Southern Wakashan,Wakashan,,
mkj,Makasae,1,Postpositions,Makasae-Fataluku-Oirata,Timor-Alor-Pantar,,
mkl,Maklew,1,Postpositions,Bulaka River,Bulaka River,,
mua,Makua,2,Prepositions,Bantoid,Niger-Congo,,
mal,Malagasy,2,Prepositions,Barito,Austronesian,,
mlu,Maleu,2,Prepositions,Oceanic,Austronesian,,
mlg,Malgwa,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
mam,Mam,2,Prepositions,Mayan,Mayan,,
mmn,Mamanwa,2,Prepositions,Greater Central Philippine,Austronesian,,
mmi,Mambai,2,Prepositions,Adamawa,Niger-Congo,,
mds,Manadonese,2,Prepositions,Malayo-Sumbawan,Austronesian,,
mnm,Manam,1,Postpositions,Oceanic,Austronesian,,
mnc,Manchu,1,Postpositions,Tungusic,Altaic,,
mdn,Mandan,1,Postpositions,Core Siouan,Siouan,,
mnd,Mandarin,4,No dominant order,Chinese,Sino-Tibetan,,
mkg,Mandinka (Gambian),1,Postpositions,Western Mande,Mande,,
mmb,Mangap-Mbula,2,Prepositions,Oceanic,Austronesian,,
myi,Mangarrayi,2,Prepositions,Mangarrayi,Mangarrayi-Maran,,
mng,Manggarai,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
mgg,Mangghuer,1,Postpositions,Mongolic,Altaic,,
maw,Maninka (Western),1,Postpositions,Western Mande,Mande,,
man,Mano,1,Postpositions,Eastern Mande,Mande,,
mwb,Manobo (Western Bukidnon),2,Prepositions,Greater Central Philippine,Austronesian,,
mns,Mansi,1,Postpositions,Ugric,Uralic,,
mao,Maori,2,Prepositions,Oceanic,Austronesian,,
map,Mapudungun,4,No dominant order,Araucanian,Araucanian,,
mra,Mara,2,Prepositions,Mara,Mangarrayi-Maran,,
mku,Maranungku,1,Postpositions,Wagaydy,Western Daly,,
mhi,Marathi,1,Postpositions,Indic,Indo-European,,
mrg,Margi,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
mme,Mari (Meadow),1,Postpositions,Mari,Uralic,,
mar,Maricopa,1,Postpositions,Yuman,Hokan,,
mrd,Marind,1,Postpositions,Marind Proper,Marind,,
mrq,Marquesan,2,Prepositions,Oceanic,Austronesian,,
mrh,Marrithiyel,1,Postpositions,Bringen,Western Daly,,
mrt,Martuthunira,5,No adpositions,Western Pama-Nyungan,Pama-Nyungan,,
mru,Maru,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
mas,Masa,2,Prepositions,Masa,Afro-Asiatic,,
mtt,Massachusett,2,Prepositions,Algonquian,Algic,,
mdl,Matngele,1,Postpositions,Eastern Daly,Eastern Daly,,
myr,Matsés,1,Postpositions,Panoan,Panoan,,
mka,Mauka,1,Postpositions,Western Mande,Mande,,
mau,Maung,2,Prepositions,Iwaidjan,Iwaidjan,,
max,Maxakalí,1,Postpositions,Maxakalí,Macro-Ge,,
may,Maybrat,2,Prepositions,North-Central Bird's Head,West Papuan,,
myg,Mayogo,2,Prepositions,Ubangi,Niger-Congo,,
mzn,Mazanderani,1,Postpositions,Iranian,Indo-European,,
mzh,Mazatec (Huautla),2,Prepositions,Popolocan,Oto-Manguean,,
mbr,Mbara,4,No dominant order,Biu-Mandara,Afro-Asiatic,,
mby,Mbay,4,No dominant order,Bongo-Bagirmi,Central Sudanic,,
mbe,Mbere,2,Prepositions,Bantoid,Niger-Congo,,
mdo,Mbodomo,2,Prepositions,Gbaya-Manza-Ngbaka,Niger-Congo,,
mbm,Mbum,2,Prepositions,Adamawa,Niger-Congo,,
meh,Mehri,2,Prepositions,Semitic,Afro-Asiatic,,
mei,Meithei,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
mek,Mekens,1,Postpositions,Tupari,Tupian,,
mke,Mekeo,1,Postpositions,Oceanic,Austronesian,,
mde,Mende,1,Postpositions,Western Mande,Mande,,
men,Menomini,5,No adpositions,Algonquian,Algic,,
mey,Menya,1,Postpositions,Angan,Trans-New Guinea,,
mea,Meyah,2,Prepositions,East Bird's Head,East Bird's Head,,
mpt,Mian,1,Postpositions,Ok,Trans-New Guinea,,
mie,Mien,5,No adpositions,Hmong-Mien,Hmong-Mien,,
mig,Migama,2,Prepositions,East Chadic,Afro-Asiatic,,
mik,Mikir,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
hna,Mina,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
min,Minangkabau,2,Prepositions,Malayo-Sumbawan,Austronesian,,
mnv,Minaveha,1,Postpositions,Oceanic,Austronesian,,
msg,Mising,1,Postpositions,Tani,Sino-Tibetan,,
mis,Miskito,1,Postpositions,Misumalpan,Misumalpan,,
mco,Mixe (Coatlán),2,Prepositions,Mixe-Zoque,Mixe-Zoque,,
mxa,Mixtec (Atatlahuca),2,Prepositions,Mixtecan,Oto-Manguean,,
mxc,Mixtec (Chalcatongo),2,Prepositions,Mixtecan,Oto-Manguean,,
mxj,Mixtec (Jicaltepec),2,Prepositions,Mixtecan,Oto-Manguean,,
mxo,Mixtec (Ocotepec),2,Prepositions,Mixtecan,Oto-Manguean,,
mxp,Mixtec (Peñoles),2,Prepositions,Mixtecan,Oto-Manguean,,
mxy,Mixtec (Yosondúa),2,Prepositions,Mixtecan,Oto-Manguean,,
miy,Miya,2,Prepositions,West Chadic,Afro-Asiatic,,
miz,Mizo,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
mlm,Mlabri (Minor),2,Prepositions,Palaung-Khmuic,Austro-Asiatic,,
mcc,Mochica,1,Postpositions,Chimúan,Chimúan,,
mof,Mofu-Gudur,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
mok,Mokilese,2,Prepositions,Oceanic,Austronesian,,
mko,Mokilko,2,Prepositions,East Chadic,Afro-Asiatic,,
mom,Mombum,1,Postpositions,Mombum,Mombum,,
fqs,Momu,1,Postpositions,Fas,Kwomtari-Baibai,,
mqf,Momuna,1,Postpositions,Momuna,Trans-New Guinea,,
mon,Mon,2,Prepositions,Monic,Austro-Asiatic,,
mga,Mondunga,2,Prepositions,Ubangi,Niger-Congo,,
mgo,Mongo,2,Prepositions,Bantoid,Niger-Congo,,
mno,Mono (in United States),1,Postpositions,Numic,Uto-Aztecan,,
moa,Mono-Alu,4,No dominant order,Oceanic,Austronesian,,
mbo,Monumbo,1,Postpositions,Monumbo,Monumbo,,
moo,Mooré,4,No dominant order,Gur,Niger-Congo,,
mor,Mor,2,Prepositions,South Halmahera - West New Guinea,Austronesian,,
mri,Moraori,1,Postpositions,Moraori,Moraori,,
moe,Mordvin (Erzya),1,Postpositions,Mordvin,Uralic,,
mro,Moro,4,No dominant order,Heiban,Kordofanian,,
mou,Moru,1,Postpositions,Moru-Ma'di,Central Sudanic,,
mtu,Motu,1,Postpositions,Oceanic,Austronesian,,
mov,Movima,2,Prepositions,Movima,Movima,,
mpu,Mpur,2,Prepositions,Kebar,West Papuan,,
mum,Mumuye,2,Prepositions,Adamawa,Niger-Congo,,
mna,Muna,2,Prepositions,Celebic,Austronesian,,
mdg,Mundang,2,Prepositions,Adamawa,Niger-Congo,,
mun,Mundari,1,Postpositions,Munda,Austro-Asiatic,,
muu,Mundurukú,1,Postpositions,Munduruku,Tupian,,
mnz,Munzombo,2,Prepositions,Ubangi,Niger-Congo,,
mup,Mupun,2,Prepositions,West Chadic,Afro-Asiatic,,
mrl,Murle,4,No dominant order,Surmic,Eastern Sudanic,,
mpa,Murrinh-Patha,4,No dominant order,Murrinh-Patha,Southern Daly,,
mgu,Musgu,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
msm,Musom,2,Prepositions,Oceanic,Austronesian,,
msq,Musqueam,2,Prepositions,Central Salish,Salishan,,
mus,Mussau,2,Prepositions,Oceanic,Austronesian,,
mwe,Mwera,5,No adpositions,Bantoid,Niger-Congo,,
nab,Nabak,1,Postpositions,Finisterre-Huon,Trans-New Guinea,,
nad,Nadëb,1,Postpositions,Nadahup,Nadahup,,
nze,Naga (Zeme),1,Postpositions,Kuki-Chin,Sino-Tibetan,,
nag,Nagatman,1,Postpositions,Yale,Yale,,
nhh,Nahuatl (Huasteca),2,Prepositions,Aztecan,Uto-Aztecan,,
nhm,Nahuatl (Michoacán),2,Prepositions,Aztecan,Uto-Aztecan,,
nht,Nahuatl (Tetelcingo),2,Prepositions,Aztecan,Uto-Aztecan,,
nak,Nakanai,2,Prepositions,Oceanic,Austronesian,,
nal,Nalik,2,Prepositions,Oceanic,Austronesian,,
nam,Namia,1,Postpositions,Yellow River,Sepik,,
nnc,Nancowry,2,Prepositions,Nicobarese,Austro-Asiatic,,
nde,Nande,2,Prepositions,Bantoid,Niger-Congo,,
nan,Nandi,2,Prepositions,Nilotic,Eastern Sudanic,,
nnk,Nankina,1,Postpositions,Finisterre-Huon,Trans-New Guinea,,
nph,Nar-Phu,1,Postpositions,Bodic,Sino-Tibetan,,
nar,Nara (in Ethiopia),1,Postpositions,Nara,Eastern Sudanic,,
nas,Nasioi,1,Postpositions,East Bougainville,East Bougainville,,
nat,Natchez,1,Postpositions,Natchez,Natchez,,
nav,Navajo,1,Postpositions,Athapaskan,Na-Dene,,
ncm,Ncàm,4,No dominant order,Gur,Niger-Congo,,
ndj,Ndjébbana,1,Postpositions,Ndjébbana,Mangrida,,
ndo,Ndonga,2,Prepositions,Bantoid,Niger-Congo,,
ndu,Ndumu,2,Prepositions,Bantoid,Niger-Congo,,
ndt,Ndut,2,Prepositions,Northern Atlantic,Niger-Congo,,
ndy,Ndyuka,2,Prepositions,Creoles and Pidgins,other,,
neh,Nehan,2,Prepositions,Oceanic,Austronesian,,
nnd,Nend,1,Postpositions,Madang,Trans-New Guinea,,
nen,Nenets,1,Postpositions,Samoyedic,Uralic,,
naj,Neo-Aramaic (Arbel Jewish),2,Prepositions,Semitic,Afro-Asiatic,,
nep,Nepali,1,Postpositions,Indic,Indo-European,,
nev,Nevome,1,Postpositions,Tepiman,Uto-Aztecan,,
nwd,Newar (Dolakha),1,Postpositions,Mahakiranti,Sino-Tibetan,,
new,Newari (Kathmandu),1,Postpositions,Mahakiranti,Sino-Tibetan,,
ntj,Ngaanyatjarra,1,Postpositions,Western Pama-Nyungan,Pama-Nyungan,,
ngd,Ngad'a,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
ngl,Ngalakan,5,No adpositions,Ngalakan,Gunwinyguan,,
ngm,Ngambay,2,Prepositions,Bongo-Bagirmi,Central Sudanic,,
ngg,Ngan'gityemerri,1,Postpositions,Ngankikurungkurr,Southern Daly,,
ngk,Ngankikurungkurr,1,Postpositions,Ngankikurungkurr,Southern Daly,,
ngb,Ngbaka (Minagende),2,Prepositions,Gbaya-Manza-Ngbaka,Niger-Congo,,
ndi,Ngbandi,2,Prepositions,Ubangi,Niger-Congo,,
nti,Ngiti,1,Postpositions,Lendu,Central Sudanic,,
ngi,Ngiyambaa,5,No adpositions,Southeastern Pama-Nyungan,Pama-Nyungan,,
ngz,Ngizim,2,Prepositions,West Chadic,Afro-Asiatic,,
ngo,Ngoni,2,Prepositions,Bantoid,Niger-Congo,,
ngu,Nguna,2,Prepositions,Oceanic,Austronesian,,
nbr,Ngäbere,1,Postpositions,Guaymiic,Chibchan,,
nia,Nias,2,Prepositions,Northwest Sumatra-Barrier Islands,Austronesian,,
nca,Nicobarese (Car),2,Prepositions,Nicobarese,Austro-Asiatic,,
nsg,Nisgha,2,Prepositions,Tsimshianic,Penutian,,
nif,Niuafo'ou,2,Prepositions,Oceanic,Austronesian,,
niu,Niuean,2,Prepositions,Oceanic,Austronesian,,
niv,Nivkh,1,Postpositions,Nivkh,Nivkh,,
nkn,Nkonya,1,Postpositions,Kwa,Niger-Congo,,
nko,Nkore-Kiga,2,Prepositions,Bantoid,Niger-Congo,,
noc,Nocte,1,Postpositions,Northern Naga,Sino-Tibetan,,
non,Noni,4,No dominant order,Bantoid,Niger-Congo,,
noo,Noon,2,Prepositions,Northern Atlantic,Niger-Congo,,
nor,Norwegian,2,Prepositions,Germanic,Indo-European,,
nse,Nsenga,2,Prepositions,Bantoid,Niger-Congo,,
nua,Nuaulu,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
nbd,Nubian (Dongolese),1,Postpositions,Nubian,Eastern Sudanic,,
nue,Nuer,2,Prepositions,Nilotic,Eastern Sudanic,,
nun,Nung (in Vietnam),2,Prepositions,Kam-Tai,Tai-Kadai,,
nug,Nunggubuyu,5,No adpositions,Nunggubuyu,Gunwinyguan,,
nup,Nupe,2,Prepositions,Nupoid,Niger-Congo,,
nyr,Nyangumarda,4,No dominant order,Western Pama-Nyungan,Pama-Nyungan,,
nyi,Nyimang,1,Postpositions,Nyimang,Eastern Sudanic,,
nis,Nyishi,1,Postpositions,Tani,Sino-Tibetan,,
nyu,Nyulnyul,3,Inpositions,Nyulnyulan,Nyulnyulan,,
nza,Nzakara,2,Prepositions,Ubangi,Niger-Congo,,
ood,O'odham,4,No dominant order,Tepiman,Uto-Aztecan,,
obo,Obolo,2,Prepositions,Cross River,Niger-Congo,,
ocu,Ocuilteco,2,Prepositions,Matlatzincan,Oto-Manguean,,
obg,Ogbronuagum,2,Prepositions,Cross River,Niger-Congo,,
oji,Ojibwa (Eastern),5,No adpositions,Algonquian,Algic,,
oks,Oksapmin,1,Postpositions,Oksapmin,Oksapmin,,
olo,Olo,2,Prepositions,Wapei-Palei,Torricelli,,
ond,Oneida,5,No adpositions,Northern Iroquoian,Iroquoian,,
ork,Orok,1,Postpositions,Tungusic,Altaic,,
oro,Orokaiva,1,Postpositions,Binanderean,Trans-New Guinea,,
orh,Oromo (Harar),1,Postpositions,Lowland East Cushitic,Afro-Asiatic,,
orw,Oromo (Waata),1,Postpositions,Lowland East Cushitic,Afro-Asiatic,,
ory,Orya,1,Postpositions,Orya,Tor-Orya,,
osa,Osage,1,Postpositions,Core Siouan,Siouan,,
oss,Ossetic,1,Postpositions,Iranian,Indo-European,,
otm,Otomí (Mezquital),2,Prepositions,Otomian,Oto-Manguean,,
owi,Owininga,1,Postpositions,Left May,Left May,,
paa,Pa'a,2,Prepositions,West Chadic,Afro-Asiatic,,
pms,Paamese,2,Prepositions,Oceanic,Austronesian,,
pno,Paiute (Northern),4,No dominant order,Numic,Uto-Aztecan,,
pai,Paiwan,2,Prepositions,Paiwan,Austronesian,,
pal,Palauan,2,Prepositions,Palauan,Austronesian,,
plg,Palaung,2,Prepositions,Palaung-Khmuic,Austro-Asiatic,,
plk,Palikur,2,Prepositions,Eastern Arawakan,Arawakan,,
pnx,Panará,1,Postpositions,Ge-Kaingang,Macro-Ge,,
pnn,Pangasinan,2,Prepositions,Northern Luzon,Austronesian,,
png,Pangwa,2,Prepositions,Bantoid,Niger-Congo,,
pan,Panjabi,1,Postpositions,Indic,Indo-European,,
pre,Pare,2,Prepositions,Bantoid,Niger-Congo,,
psh,Pashto,1,Postpositions,Iranian,Indo-European,,
psm,Passamaquoddy-Maliseet,2,Prepositions,Algonquian,Algic,,
pat,Patep,2,Prepositions,Oceanic,Austronesian,,
ptt,Pattani,1,Postpositions,Bodic,Sino-Tibetan,,
ptw,Patwin,1,Postpositions,Wintuan,Penutian,,
plh,Paulohi,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
pau,Paumarí,1,Postpositions,Arauan,Arauan,,
paw,Pawaian,1,Postpositions,Pawaian,Teberan-Pawaian,,
per,Pero,2,Prepositions,West Chadic,Afro-Asiatic,,
prs,Persian,2,Prepositions,Iranian,Indo-European,,
pga,Pilagá,5,No adpositions,South Guaicuruan,Guaicuruan,,
pip,Pipil,2,Prepositions,Aztecan,Uto-Aztecan,,
prh,Pirahã,1,Postpositions,Mura,Mura,,
pis,Pisa,1,Postpositions,Awju-Dumut,Trans-New Guinea,,
pit,Pitjantjatjara,1,Postpositions,Western Pama-Nyungan,Pama-Nyungan,,
pod,Podoko,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
pog,Pogoro,2,Prepositions,Bantoid,Niger-Congo,,
poh,Pohnpeian,2,Prepositions,Oceanic,Austronesian,,
pok,Poko-Rawo,4,No dominant order,Serra Hills,Skou,,
pkt,Pokot,2,Prepositions,Nilotic,Eastern Sudanic,,
pol,Polish,2,Prepositions,Slavic,Indo-European,,
pmn,Pomo (Northern),1,Postpositions,Pomoan,Hokan,,
pso,Pomo (Southeastern),1,Postpositions,Pomoan,Hokan,,
psw,Port Sandwich,2,Prepositions,Oceanic,Austronesian,,
por,Portuguese,2,Prepositions,Romance,Indo-European,,
pra,Prasuni,1,Postpositions,Nuristani,Indo-European,,
pul,Puluwat,2,Prepositions,Oceanic,Austronesian,,
pum,Pumi,1,Postpositions,Qiangic,Sino-Tibetan,,
pun,Pungupungu,1,Postpositions,Anson Bay,Anson Bay,,
puq,Puquina,1,Postpositions,Puquina,Puquina,,
prk,Purki,1,Postpositions,Bodic,Sino-Tibetan,,
pur,Purépecha,4,No dominant order,Tarascan,Tarascan,,
pae,Páez,1,Postpositions,Páezan,Páezan,,
par,Päri,2,Prepositions,Nilotic,Eastern Sudanic,,
qaf,Qafar,1,Postpositions,Lowland East Cushitic,Afro-Asiatic,,
qaw,Qawasqar,1,Postpositions,Alacalufan,Alacalufan,,
qia,Qiang,1,Postpositions,Qiangic,Sino-Tibetan,,
qhu,Quechua (Huallaga),1,Postpositions,Quechuan,Quechuan,,
qim,Quechua (Imbabura),1,Postpositions,Quechuan,Quechuan,,
rag,Raga,2,Prepositions,Oceanic,Austronesian,,
ram,Rama,1,Postpositions,Rama,Chibchan,,
rap,Rapanui,2,Prepositions,Oceanic,Austronesian,,
raw,Rawang,1,Postpositions,Nungish,Sino-Tibetan,,
rem,Remo,1,Postpositions,Munda,Austro-Asiatic,,
res,Resígaro,1,Postpositions,Inland Northern Arawakan,Arawakan,,
ret,Retuarã,1,Postpositions,Tucanoan,Tucanoan,,
rik,Rikbaktsa,1,Postpositions,Rikbaktsa,Macro-Ge,,
rwe,Romani (Welsh),2,Prepositions,Indic,Indo-European,,
rom,Romanian,2,Prepositions,Romance,Indo-European,,
rga,Ronga,2,Prepositions,Bantoid,Niger-Congo,,
rot,Rotuman,2,Prepositions,Oceanic,Austronesian,,
ruk,Rukai (Tanan),2,Prepositions,Rukai,Austronesian,,
rum,Rumu,1,Postpositions,Turama-Kikorian,Turama-Kikorian,,
run,Runga,1,Postpositions,Maban,Maban,,
rny,Runyankore,2,Prepositions,Bantoid,Niger-Congo,,
rus,Russian,2,Prepositions,Slavic,Indo-European,,
rut,Rutul,1,Postpositions,Lezgic,Nakh-Daghestanian,,
saa,Sa'a,2,Prepositions,Oceanic,Austronesian,,
sno,Saami (Northern),1,Postpositions,Saami,Uralic,,
sah,Sahu,2,Prepositions,North Halmaheran,West Papuan,,
sak,Sakao,2,Prepositions,Oceanic,Austronesian,,
slb,Saliba (in Papua New Guinea),1,Postpositions,Oceanic,Austronesian,,
sal,Salinan,2,Prepositions,Salinan,Salinan,,
syu,Salt-Yui,1,Postpositions,Chimbu,Trans-New Guinea,,
sle,Samba Leko,1,Postpositions,Adamawa,Niger-Congo,,
sam,Samoan,2,Prepositions,Oceanic,Austronesian,,
sdw,Sandawe,1,Postpositions,Sandawe,Sandawe,,
san,Sango,2,Prepositions,Ubangi,Niger-Congo,,
sta,Santa,1,Postpositions,Mongolic,Altaic,,
stl,Santali,1,Postpositions,Munda,Austro-Asiatic,,
snm,Sanuma,1,Postpositions,Yanomam,Yanomam,,
src,Sarcee,1,Postpositions,Athapaskan,Na-Dene,,
sar,Sare,1,Postpositions,Sepik Hill,Sepik,,
sav,Savi,1,Postpositions,Indic,Indo-European,,
svs,Savosavo,1,Postpositions,Savosavo,Solomons East Papuan,,
seb,Sebei,2,Prepositions,Nilotic,Eastern Sudanic,,
sed,Sedang,2,Prepositions,Bahnaric,Austro-Asiatic,,
slp,Selepet,1,Postpositions,Finisterre-Huon,Trans-New Guinea,,
sel,Selknam,1,Postpositions,Chon Proper,Chon,,
sem,Sema,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
sme,Seme,1,Postpositions,Kru,Niger-Congo,,
sml,Semelai,2,Prepositions,Aslian,Austro-Asiatic,,
smn,Seminole,1,Postpositions,Muskogean,Muskogean,,
sen,Sena,2,Prepositions,Bantoid,Niger-Congo,,
sgl,Sengele,2,Prepositions,Bantoid,Niger-Congo,,
snt,Sentani,1,Postpositions,Sentani,Sentani,,
scr,Serbian-Croatian,2,Prepositions,Slavic,Indo-European,,
ser,Seri,1,Postpositions,Seri,Hokan,,
ses,Sesotho,2,Prepositions,Bantoid,Niger-Congo,,
shb,Shabo,1,Postpositions,Shabo,Shabo,,
shh,Sharanahua,1,Postpositions,Panoan,Panoan,,
skw,Shekhawati,1,Postpositions,Indic,Indo-European,,
she,Sherpa,1,Postpositions,Bodic,Sino-Tibetan,,
shl,Shilluk,2,Prepositions,Nilotic,Eastern Sudanic,,
sna,Shina,1,Postpositions,Indic,Indo-European,,
shk,Shipibo-Konibo,1,Postpositions,Panoan,Panoan,,
shy,Shira Yughur,1,Postpositions,Mongolic,Altaic,,
shi,Shiriana,1,Postpositions,Yanomam,Yanomam,,
shn,Shona,2,Prepositions,Bantoid,Niger-Congo,,
ryu,Shuri,1,Postpositions,Japanese,Japanese,,
shu,Shuswap,2,Prepositions,Interior Salish,Salishan,,
sir,Siar,2,Prepositions,Oceanic,Austronesian,,
sid,Sidaama,1,Postpositions,Highland East Cushitic,Afro-Asiatic,,
skk,Sikkimese,1,Postpositions,Bodic,Sino-Tibetan,,
skn,Sikuani,1,Postpositions,Guahiban,Guahiban,,
sim,Simeulue,2,Prepositions,Northwest Sumatra-Barrier Islands,Austronesian,,
sng,Sinaugoro,1,Postpositions,Oceanic,Austronesian,,
snh,Sinhala,1,Postpositions,Indic,Indo-European,,
sio,Sio,2,Prepositions,Oceanic,Austronesian,,
qum,Sipakapense,2,Prepositions,Mayan,Mayan,,
srn,Sirionó,1,Postpositions,Tupi-Guaraní,Tupian,,
sro,Siroi,1,Postpositions,Madang,Trans-New Guinea,,
sis,Sisiqa,2,Prepositions,Oceanic,Austronesian,,
siu,Siuslaw,5,No adpositions,Siuslawan,Oregon Coast,,
sko,Skou,1,Postpositions,Western Skou,Skou,,
sla,Slave,1,Postpositions,Athapaskan,Na-Dene,,
slo,Slovene,2,Prepositions,Slavic,Indo-European,,
so,So,2,Prepositions,Kuliak,Eastern Sudanic,,
sob,Sobei,2,Prepositions,Oceanic,Austronesian,,
sod,Soddo,4,No dominant order,Semitic,Afro-Asiatic,,
som,Somali,4,No dominant order,Lowland East Cushitic,Afro-Asiatic,,
sge,Songe,2,Prepositions,Bantoid,Niger-Congo,,
son,Sonsorol-Tobi,2,Prepositions,Oceanic,Austronesian,,
sor,Sora,1,Postpositions,Munda,Austro-Asiatic,,
srb,Sorbian,2,Prepositions,Slavic,Indo-European,,
sgb,Sougb,2,Prepositions,East Bird's Head,East Bird's Head,,
spa,Spanish,2,Prepositions,Romance,Indo-European,,
squ,Squamish,2,Prepositions,Central Salish,Salishan,,
sre,Sre,2,Prepositions,Bahnaric,Austro-Asiatic,,
sti,Stieng,2,Prepositions,Bahnaric,Austro-Asiatic,,
sue,Suena,1,Postpositions,Binanderean,Trans-New Guinea,,
sul,Sulka,2,Prepositions,Sulka,Sulka,,
sun,Sundanese,2,Prepositions,Malayo-Sumbawan,Austronesian,,
sup,Supyire,1,Postpositions,Gur,Niger-Congo,,
sus,Susu,1,Postpositions,Western Mande,Mande,,
swa,Swahili,2,Prepositions,Bantoid,Niger-Congo,,
swe,Swedish,2,Prepositions,Germanic,Indo-European,,
